id,key,value,type
74584525,highway,residential,regular
74584525,en,Donghaisan Road,name
74784252,name,海徐路,regular
74784252,oneway,yes,regular
74784252,highway,residential,regular
74784252,en,Haixu Road,name
75009862,name,老沪闵路,regular
75009862,layer,-1,regular
75009862,oneway,yes,regular
75009862,tunnel,yes,regular
75009862,highway,secondary,regular
75009862,en,Old Humin Road,name
80220238,source,GPS,regular
80220238,highway,track,regular
80408175,source,Landsat,regular
80408175,natural,water,regular
84527793,highway,residential,regular
85754621,name,锦乐路,regular
85754621,highway,unclassified,regular
85754621,en,Jinle Road,name
86096987,railway,rail,regular
86668370,highway,service,regular
87899367,waterway,river,regular
88922727,ref,S222,regular
88922727,name,华东路,regular
88922727,oneway,yes,regular
88922727,source,Bing,regular
88922727,highway,primary,regular
88922727,en,Huadong Road,name
88976724,gauge,1435,regular
88976724,source,Bing,regular
88976724,railway,subway,regular
88976724,service,yard,regular
89180340,highway,residential,regular
89180340,surface,asphalt,regular
89371169,name,城丰路,regular
89371169,source,Bing,regular
89371169,highway,residential,regular
89371169,en,Chengfeng Road,name
89504960,highway,trunk_link,regular
89504960,name,2号航站楼,regular
89504960,en,Terminal 2,name
89504960,zh,2号航站楼,name
89504960,oneway,yes,regular
89504960,source,Bing,regular
89910180,highway,secondary,regular
89910180,lanes,3,regular
89910180,lit,yes,regular
89910180,name,文澜路,regular
89910180,oneway,yes,regular
91530835,oneway,yes,regular
91530835,highway,motorway_link,regular
91748131,highway,steps,regular
91843342,highway,service,regular
91963877,name,水清路,regular
91963877,oneway,yes,regular
91963877,highway,secondary,regular
92219517,gauge,1435,regular
92219517,source,Bing,regular
92219517,railway,subway,regular
92219517,service,yard,regular
92219517,voltage,1500,regular
92219517,frequency,0,regular
92219517,electrified,contact_line,regular
92417893,layer,1,regular
92417893,bridge,yes,regular
92417893,oneway,yes,regular
92417893,highway,motorway_link,regular
92483116,ref,S26,regular
92483116,lanes,2,regular
92483116,oneway,yes,regular
92483116,highway,motorway,regular
92628619,name,大连山,regular
92628619,natural,wood,regular
92960749,highway,tertiary,regular
93039136,building,yes,regular
93056737,lanes,2,regular
93056737,layer,1,regular
93056737,bridge,yes,regular
93056737,oneway,yes,regular
93056737,highway,motorway_link,regular
93099672,ref,S26,regular
93099672,lanes,2,regular
93099672,layer,1,regular
93099672,bridge,yes,regular
93099672,oneway,yes,regular
93099672,highway,motorway,regular
93178845,highway,residential,regular
93234098,lanes,2,regular
93234098,oneway,yes,regular
93234098,highway,motorway,regular
93661401,highway,residential,regular
93686962,layer,1,regular
93686962,bridge,yes,regular
93686962,oneway,yes,regular
93686962,highway,motorway_link,regular
93792948,oneway,yes,regular
93792948,source,GPS,regular
93792948,highway,motorway_link,regular
93865770,bridge,yes,regular
93865770,highway,trunk_link,regular
93865770,layer,1,regular
93865770,oneway,yes,regular
93888638,ref,S124,regular
93888638,name,沪松公路,regular
93888638,oneway,yes,regular
93888638,highway,primary,regular
93888638,en,Husong Highway,name
94229432,bridge,yes,regular
94229432,railway,rail,regular
95187297,waterway,ditch,regular
95210641,waterway,canal,regular
95244606,oneway,yes,regular
95244606,highway,motorway_link,regular
95273265,bridge,yes,regular
95273265,highway,motorway,regular
95273265,lanes,2,regular
95273265,layer,1,regular
95273265,name,沈海高速,regular
95273265,en,Shenhai Expressway,name
95273265,old_name,莘奉金高速,regular
95273265,en,Xinfengjin Expressway,old_name
95273265,old_ref,A4,regular
95273265,oneway,yes,regular
95273265,ref,G15,regular
95427965,name,浦星公路,regular
95427965,layer,1,regular
95427965,bridge,yes,regular
95427965,oneway,yes,regular
95427965,highway,primary,regular
95427965,en,Puxing Highway,name
95513542,ref,G204,regular
95513542,name,真南路,regular
95513542,oneway,yes,regular
95513542,highway,primary,regular
95513542,en,Zhennan Road,name
95618626,waterway,ditch,regular
95801092,highway,residential,regular
96541554,waterway,canal,regular
96779404,name,南京地铁二号线,regular
96779404,gauge,1435,regular
96779404,layer,1,regular
96779404,ja,南京地下鉄2号線,name
96779404,railway,subway,regular
96779404,electrified,contact_line,regular
97000925,ref,S38,regular
97000925,name,沿江高速,regular
97000925,lanes,3,regular
97000925,oneway,yes,regular
97000925,highway,motorway,regular
97000925,en,Yanjiang Expressway,name
97000925,surface,asphalt,regular
97000925,maxspeed,120,regular
97167081,highway,tertiary,regular
97237066,oneway,yes,regular
97237066,highway,motorway_link,regular
97248489,highway,trunk,regular
97248489,lanes,3,regular
97248489,name,城北西路,regular
97248489,en,Chengbei West Road,name
97248489,oneway,yes,regular
97248489,source,Bing,regular
97403297,highway,motorway,regular
97403297,int_ref,AH5,regular
97403297,lanes,4,regular
97403297,name,沪宁高速,regular
97403297,en,Huning Expressway,name
97403297,oneway,yes,regular
97403297,ref,G2;G42,regular
97403297,source,GPS,regular
97417056,oneway,yes,regular
97417056,highway,motorway_link,regular
97546601,access,permissive,regular
97546601,oneway,yes,regular
97546601,highway,service,regular
97565162,access,private,regular
97565162,highway,service,regular
97574616,oneway,yes,regular
97574616,highway,motorway_link,regular
97656030,gauge,1435,regular
97656030,usage,industrial,regular
97656030,railway,rail,regular
97656030,service,yard,regular
97662161,waterway,ditch,regular
97668842,gauge,1435,regular
97668842,usage,industrial,regular
97668842,railway,rail,regular
97668842,service,yard,regular
97855657,aeroway,apron,regular
98279014,highway,tertiary,regular
98279014,name,双溪路,regular
98279014,oneway,yes,regular
98342066,highway,unclassified,regular
98346755,ref,G15 G1501,regular
98346755,fixme,second direction is missing,regular
98346755,lanes,3,regular
98346755,oneway,yes,regular
98346755,highway,motorway,regular
98638186,ref,S 213,regular
98638186,oneway,yes,regular
98638186,highway,primary_link,regular
99205652,source,Bing,regular
99205652,highway,residential,regular
99513547,highway,tertiary,regular
99661847,highway,service,regular
100066877,highway,residential,regular
100175290,highway,residential,regular
100175726,highway,residential,regular
100323285,name,桂林路,regular
100323285,layer,1,regular
100323285,bridge,yes,regular
100323285,oneway,yes,regular
100323285,highway,secondary,regular
100323285,en,Guilin Road,name
100577406,highway,primary,regular
100577406,lanes,2,regular
100577406,maxspeed,80,regular
100577406,name,苏虞张公路,regular
100577406,oneway,yes,regular
100584747,ref,S38,regular
100584747,name,双龙村大桥,regular
100584747,lanes,2,regular
100584747,bridge,yes,regular
100584747,oneway,yes,regular
100584747,highway,motorway,regular
100584747,surface,asphalt,regular
100584747,maxspeed,120,regular
100676641,highway,footway,regular
100875849,highway,residential,regular
100880998,highway,residential,regular
101076992,name,周东路,regular
101076992,lanes,4,regular
101076992,oneway,no,regular
101076992,highway,secondary,regular
101076992,en,Zhoudong Road,name
101676855,highway,residential,regular
101682094,name,苏虞张公路,regular
101682094,lanes,2,regular
